medium,source_document,location_or_well,analyte,value_type,value,unit,date_or_event,depth_ft,is_background,n_samples,regulatory_limit,limit_type,exceedance_ratio,source_citation,status,notes
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-1,arsenic,min_detected_per_well_all_dates,1.1,ug/L,6/4/2014,,,20,10.0,MCL,,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=3
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-1,arsenic,max_detected_per_well_all_dates,3.3,ug/L,3/18/2013,,,20,10.0,MCL,0.33,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=3
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-1,barium,min_detected_per_well_all_dates,100.0,ug/L,5/2/2016,,,20,1000.0,MCL,,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-1,barium,max_detected_per_well_all_dates,190.0,ug/L,3/18/2013,,,20,1000.0,MCL,0.19,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-1,lead,min_detected_per_well_all_dates,2.2,ug/L,3/18/2013,,,20,15.0,Regulatory Action Level (California Department of Public Health; NOT an MCL per Table 3 footnote 3),,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=19
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-1,lead,max_detected_per_well_all_dates,2.2,ug/L,3/18/2013,,,20,15.0,Regulatory Action Level (California Department of Public Health; NOT an MCL per Table 3 footnote 3),0.147,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=19
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-1,manganese,min_detected_per_well_all_dates,12.0,ug/L,1/22/2013,,,20,50.0,Secondary MCL,,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=14
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-1,manganese,max_detected_per_well_all_dates,160.0,ug/L,3/18/2013,,,20,50.0,Secondary MCL,3.2,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=14
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-1,strontium,min_detected_per_well_all_dates,810.0,ug/L,5/2/2016,,,18,4000.0,EPA Drinking Water Health Advisory (footnote 4; NOT an MCL),,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-1,strontium,max_detected_per_well_all_dates,1400.0,ug/L,4/12/2018,,,18,4000.0,EPA Drinking Water Health Advisory (footnote 4; NOT an MCL),0.35,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-1,nitrate_as_n,min_detected_per_well_all_dates,5.0,mg/L,6/14/2006,,,20,10.0,MCL (health-based),,"Table 4, pp. 31-39 (values); 39 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-1,nitrate_as_n,max_detected_per_well_all_dates,18.0,mg/L,9/16/2014,,,20,10.0,MCL (health-based),1.8,"Table 4, pp. 31-39 (values); 39 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-10,arsenic,min_detected_per_well_all_dates,1.8,ug/L,9/5/2013,,,12,10.0,MCL,,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-10,arsenic,max_detected_per_well_all_dates,4.1,ug/L,6/20/2012,,,12,10.0,MCL,0.41,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-10,barium,min_detected_per_well_all_dates,59.0,ug/L,7/17/2012,,,12,1000.0,MCL,,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-10,barium,max_detected_per_well_all_dates,160.0,ug/L,6/20/2012,,,12,1000.0,MCL,0.16,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-10,lead,min_detected_per_well_all_dates,2.2,ug/L,6/20/2012,,,12,15.0,Regulatory Action Level (California Department of Public Health; NOT an MCL per Table 3 footnote 3),,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=11
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-10,lead,max_detected_per_well_all_dates,2.2,ug/L,6/20/2012,,,12,15.0,Regulatory Action Level (California Department of Public Health; NOT an MCL per Table 3 footnote 3),0.147,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=11
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-10,manganese,min_detected_per_well_all_dates,14.0,ug/L,3/18/2013,,,12,50.0,Secondary MCL,,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=7
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-10,manganese,max_detected_per_well_all_dates,290.0,ug/L,6/20/2012,,,12,50.0,Secondary MCL,5.8,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=7
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-10,strontium,min_detected_per_well_all_dates,910.0,ug/L,9/5/2013,,,12,4000.0,EPA Drinking Water Health Advisory (footnote 4; NOT an MCL),,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-10,strontium,max_detected_per_well_all_dates,1200.0,ug/L,1/22/2013,,,12,4000.0,EPA Drinking Water Health Advisory (footnote 4; NOT an MCL),0.3,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-10,nitrate_as_n,min_detected_per_well_all_dates,9.2,mg/L,6/20/2012,,,12,10.0,MCL (health-based),,"Table 4, pp. 31-39 (values); 39 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-10,nitrate_as_n,max_detected_per_well_all_dates,20.0,mg/L,6/6/2013,,,12,10.0,MCL (health-based),2.0,"Table 4, pp. 31-39 (values); 39 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-2,arsenic,min_detected_per_well_all_dates,1.8,ug/L,4/12/2018,,,18,10.0,MCL,,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=2
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-2,arsenic,max_detected_per_well_all_dates,3.2,ug/L,9/4/2013,,,18,10.0,MCL,0.32,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=2
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-2,barium,min_detected_per_well_all_dates,72.0,ug/L,12/11/2013,,,18,1000.0,MCL,,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-2,barium,max_detected_per_well_all_dates,150.0,ug/L,4/12/2017,,,18,1000.0,MCL,0.15,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-2,manganese,min_detected_per_well_all_dates,1.3,ug/L,4/12/2017,,,18,50.0,Secondary MCL,,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=10
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-2,manganese,max_detected_per_well_all_dates,27.0,ug/L,10/5/2006,,,18,50.0,Secondary MCL,0.54,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=10
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-2,strontium,min_detected_per_well_all_dates,530.0,ug/L,12/11/2013,,,16,4000.0,EPA Drinking Water Health Advisory (footnote 4; NOT an MCL),,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-2,strontium,max_detected_per_well_all_dates,940.0,ug/L,4/12/2017,,,16,4000.0,EPA Drinking Water Health Advisory (footnote 4; NOT an MCL),0.235,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-2,nitrate_as_n,min_detected_per_well_all_dates,5.5,mg/L,6/13/2006,,,18,10.0,MCL (health-based),,"Table 4, pp. 31-39 (values); 39 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-2,nitrate_as_n,max_detected_per_well_all_dates,24.0,mg/L,4/12/2017,,,18,10.0,MCL (health-based),2.4,"Table 4, pp. 31-39 (values); 39 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-3,arsenic,min_detected_per_well_all_dates,2.2,ug/L,7/16/2012,,,17,10.0,MCL,,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=2
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-3,arsenic,max_detected_per_well_all_dates,5.8,ug/L,9/4/2013,,,17,10.0,MCL,0.58,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=2
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-3,barium,min_detected_per_well_all_dates,33.0,ug/L,4/12/2017,,,17,1000.0,MCL,,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-3,barium,max_detected_per_well_all_dates,240.0,ug/L,7/16/2012,,,17,1000.0,MCL,0.24,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-3,manganese,min_detected_per_well_all_dates,1.3,ug/L,4/12/2017,,,17,50.0,Secondary MCL,,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=12
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-3,manganese,max_detected_per_well_all_dates,74.0,ug/L,9/19/2012,,,17,50.0,Secondary MCL,1.48,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=12
groundwater,06A2542ct_TO97_GW Rpt_final.20230308.pdf,MW-3,strontium,min_detected_per_well_all_dates,190.0,ug/L,4/12/2017,,,15,4000.0,EPA Drinking Water Health Advisory (footnote 4; NOT an MCL),,"Table 3, pp. 21-29 (values); 30 (footnote key); 29 (MCL row)",VERIFIED (computed from raw transcription),n_nondetect=0
